26-Apr-2017 08:45:43 - INFO    :: RSSCHECK : delaying thread for 30 seconds to avoid locks.
26-Apr-2017 08:45:45 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:45:45 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:45:45 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:45:45 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:45:45 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:45:45 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:45:45 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:45:45 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:45:45 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:45:45 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:45:45 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:45:45 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:45:45 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:45:45 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:45:48 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:45:48 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:45:48 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:45:48 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:45:48 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:45:48 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:45:48 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:45:48 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:45:48 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:45:48 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:45:48 - INFO    :: MAIN : ComicTagger settings location exists.
